obj,SpecBin,SBtype,Mass,EMass,eMass,Age,EAge,eAge
HIP102719,NO,-,2.89,0.22,0.06,2.4,0.3,0.5
HIP104305,NO,-,1.98,2.35,0.96,1000.0,5000.0,1000.0
HIP105148,NO,-,3.26,0.21,0.21,2.0,0.3,0.3
HIP107962,NO,-,2.87,0.21,0.01,2.7,0.2,0.4
HIP108402,NO,-,3.41,0.37,0.31,270.0,80.0,60.0
HIP115551,NO,-,3.32,0.18,0.27,2.2,0.7,0.5
HIP12055,NO,-,2.37,0.2,0.14,5.0,1.0,1.0
HIP13910,NO,-,2.56,0.22,0.2,4.0,1.6,0.7
HIP17527,NO,-,3.45,0.04,0.19,262.0,42.0,9.0
HIP17543,MAYBE,SB1,3.35,0.19,0.39,2.1,0.7,0.4
HIP17588,NO,-,2.94,0.15,0.18,400.0,70.0,50.0
HIP17664,YES,SB1,2.72,0.14,0.14,490.0,60.0,60.0
HIP17862,NO,-,2.85,0.11,0.24,430.0,110.0,40.0
HIP19720,NO,-,3.35,0.13,0.12,280.0,30.0,30.0
HIP20884,YES,SB1,4.27,0.3,0.38,150.0,40.0,20.0
HIP21024,NO,-,2.29,0.27,0.12,6.0,1.0,2.0
HIP21251,NO,-,4.82,0.36,0.33,0.6,0.2,0.1
HIP22112,NO,-,5.08,0.2,0.42,100.0,20.0,10.0
HIP22370,YES,SB1,2.69,0.31,0.14,2.9,0.4,0.8
HIP23201,NO,-,3.7,0.17,0.17,220.0,30.0,20.0
HIP24092,NO,-,2.54,0.09,0.26,4.2,2.0,0.8
HIP25453,NO,-,2.37,0.2,0.13,5.0,1.0,1.0
HIP25998,YES,SB1,2.47,0.21,0.14,3.8,0.5,0.7
HIP26966,NO,-,2.35,0.15,0.08,600.0,60.0,50.0
HIP28561,YES,SB2,4.01,0.22,0.18,180.0,20.0,20.0
HIP29635,YES,SB1,3.7,0.32,0.29,220.0,50.0,40.0
HIP30672,NO,-,2.45,0.11,0.16,5.0,1.0,1.0
HIP32677,YES,SB1,4.07,0.55,0.22,1.1,0.2,0.4
HIP32731,NO,-,2.48,0.22,0.22,5.0,1.0,1.0
HIP33998,YES,SB1,3.22,0.29,0.2,1.8,0.4,0.4
HIP37697,NO,-,2.61,0.16,0.08,4.0,0.4,1.0
HIP38779,NO,-,3.87,0.84,0.26,200.0,40.0,80.0
HIP40594,NO,-,2.66,0.17,0.21,3.8,1.2,0.8
HIP43643,NO,EB,2.68,0.19,0.4,3.2,1.8,0.9
HIP45585,NO,-,2.32,0.22,0.11,5.6,0.9,1.9
HIP48613,YES,SB2,2.63,0.26,0.01,3.22,0.08,0.52
HIP51491,NO,-,3.71,0.14,0.31,220.0,50.0,20.0
HIP51843,NO,-,2.32,0.2,0.11,6.0,1.0,2.0
HIP52160,YES,SB1,3.05,0.11,0.13,360.0,40.0,30.0
HIP52688,NO,-,2.55,0.22,0.14,3.6,1.6,0.4
HIP56379,NO,-,2.44,0.14,0.16,5.0,1.0,1.0
HIP56943,NO,-,2.94,0.2,0.11,2.6,0.7,0.3
